Date	Close	Open	High	Low	Volume	ROI
2016-09-20	32.6	32.55	32.65	32.5	93	0.1536
2016-09-21	32.8	32.6	32.9	32.55	153	0.6135
2016-09-22	32.5	32.8	32.85	32.45	147	-0.9146
2016-09-23	32.25	32.5	32.65	32.25	282	-0.7692
2016-09-26	32.45	32.8	32.8	32.3	64	0.6202
2016-09-29	32.35	32.45	33.0	32.2	132	-0.3082
2016-09-30	32.25	32.35	32.4	32.15	108	-0.3091
2016-10-03	32.15	32.3	32.35	32.15	99	-0.3101
2016-10-04	32.25	32.15	32.35	32.15	40	0.311
2016-10-05	32.3	32.25	32.55	32.1	58	0.155
2016-10-06	32.3	32.3	32.5	32.3	34	0.0
2016-10-07	32.2	32.25	32.25	32.1	54	-0.3096
2016-10-11	32.05	32.25	32.25	31.9	270	-0.4658
2016-10-12	32.05	32.05	32.1	32.0	67	0.0
2016-10-13	31.9	32.05	32.15	31.9	120	-0.46799999999999997
2016-10-14	32.15	32.4	32.4	32.0	94	0.7837
2016-10-17	32.25	32.2	32.25	32.1	30	0.311
2016-10-18	32.05	32.25	32.3	32.05	82	-0.6202
2016-10-19	32.05	32.05	32.1	32.0	125	0.0
2016-10-20	32.55	32.05	32.6	32.05	136	1.5601
2016-10-21	32.45	32.55	32.65	32.35	154	-0.3072
2016-10-24	32.5	32.45	32.55	32.3	96	0.1541
2016-10-25	32.45	32.5	32.5	32.4	49	-0.1538
2016-10-26	32.45	32.45	32.5	32.25	58	0.0
2016-10-27	32.35	32.45	32.5	32.25	58	-0.3082
2016-10-28	32.2	32.35	32.35	32.2	25	-0.4637
2016-10-31	32.3	32.2	32.35	32.1	39	0.3106
2016-11-01	32.1	32.3	32.45	32.1	119	-0.6192
2016-11-02	32.1	32.1	32.5	32.1	95	0.0
2016-11-03	32.15	32.1	32.2	32.05	53	0.1558
2016-11-04	32.2	32.1	32.4	32.05	42	0.1555
2016-11-07	32.1	32.25	32.3	32.1	48	-0.3106
2016-11-08	32.15	32.1	32.25	32.0	45	0.1558
2016-11-09	31.8	32.45	32.45	31.8	161	-1.0886
2016-11-10	32.1	31.9	32.2	31.9	88	0.9434
2016-11-11	32.2	32.2	32.45	31.9	136	0.3115
2016-11-14	32.1	32.2	32.2	32.05	64	-0.3106
